molecule_id,therapeutic_area,molecular_weight,logP,hbond_donors,hbond_acceptors
MOL01247,Neurology,272.84,1.9,2,6
MOL01248,Immunology,298.44,3.49,2,5
MOL01249,Cardiology,293.25,1.56,2,1
MOL01250,Oncology,474.38,1.48,2,2
MOL01251,Neurology,265.8,3.7,5,4
MOL01252,Cardiology,471.51,1.94,0,9
MOL01253,Cardiology,429.4,3.81,1,1
MOL01254,Oncology,329.12,2.0,3,2
MOL01255,Cardiology,475.27,1.06,3,4
MOL01256,Neurology,420.16,4.32,2,10
MOL01257,Oncology,340.94,4.96,0,2
MOL01258,Immunology,370.84,4.07,3,4
MOL01259,Oncology,285.59,1.9,0,1
MOL01260,Neurology,523.26,2.56,0,5
MOL01261,Oncology,467.14,3.75,4,4
MOL01262,Neurology,325.09,2.93,3,9
MOL01263,Neurology,408.33,1.79,4,3
MOL01264,Oncology,495.02,2.32,1,6
MOL01265,Immunology,275.11,1.74,3,4
MOL01266,Neurology,385.36,2.1,4,8
MOL01267,Immunology,539.29,4.27,4,2
MOL01268,Neurology,337.75,4.65,2,7
MOL01269,Cardiology,446.85,4.79,0,7
MOL01270,Neurology,505.45,1.37,2,1
MOL01271,Neurology,545.62,2.23,1,9
MOL01272,Cardiology,494.08,5.0,2,2
MOL01273,Neurology,289.54,1.43,2,6
MOL01274,Cardiology,408.57,1.5,1,8
MOL01275,Neurology,495.2,2.58,0,9
MOL01276,Cardiology,445.37,4.96,5,10
MOL01277,Oncology,538.37,2.49,1,6
MOL01278,Neurology,544.9,2.23,2,9
MOL01279,Oncology,414.5,3.01,4,4
MOL01280,Oncology,270.38,3.57,0,2
MOL01281,Immunology,467.47,1.38,0,4
MOL01282,Immunology,306.0,2.71,0,6
MOL01283,Immunology,293.25,2.11,4,4
MOL01284,Neurology,380.92,2.67,5,7
MOL01285,Immunology,507.9,1.55,0,4
MOL01286,Cardiology,539.21,1.27,0,9
MOL01287,Cardiology,532.67,4.97,1,4
MOL01288,Cardiology,325.45,2.66,5,6
MOL01289,Cardiology,317.37,3.01,0,10
MOL01290,Neurology,518.87,3.6,5,2
MOL01291,Neurology,387.04,4.9,5,5
MOL01292,Cardiology,317.68,1.48,5,8
MOL01293,Cardiology,538.82,1.09,5,3
MOL01294,Cardiology,519.26,2.62,3,6
MOL01295,Immunology,409.65,3.15,3,3
MOL01296,Neurology,333.8,4.4,1,9
MOL01297,Oncology,474.78,2.27,1,9
MOL01298,Cardiology,448.02,1.69,4,4
MOL01299,Oncology,495.21,2.56,5,2
MOL01300,Neurology,407.3,2.91,0,8
MOL01301,Cardiology,473.28,4.01,5,4
MOL01302,Cardiology,451.57,2.49,3,8
MOL01303,Oncology,418.2,3.65,0,10
MOL01304,Cardiology,289.04,1.32,5,9
MOL01305,Oncology,495.04,3.38,0,6
MOL01306,Oncology,411.19,4.02,5,9
MOL01307,Cardiology,305.9,4.05,5,4
MOL01308,Cardiology,445.97,1.62,1,2
MOL01309,Cardiology,399.25,2.77,1,10
MOL01310,Neurology,348.59,1.28,5,9
MOL01311,Cardiology,344.72,2.53,5,3
MOL01312,Oncology,310.44,4.56,4,1
MOL01313,Immunology,320.64,3.23,2,3
MOL01314,Neurology,522.34,2.55,1,9
MOL01315,Neurology,329.17,3.57,3,9
MOL01316,Cardiology,473.09,4.24,5,2
MOL01317,Neurology,482.88,3.66,5,8
MOL01318,Cardiology,532.83,4.83,5,5
MOL01319,Cardiology,335.93,3.81,4,10
MOL01320,Cardiology,446.39,4.96,5,8
MOL01321,Cardiology,434.92,4.89,4,3
MOL01322,Oncology,409.29,1.2,5,10
MOL01323,Cardiology,300.27,2.14,3,4
MOL01324,Cardiology,384.97,1.6,3,4
MOL01325,Immunology,439.96,4.35,1,1
MOL01326,Immunology,423.17,1.26,4,3
MOL01327,Cardiology,250.66,1.16,1,2
MOL01328,Neurology,301.15,2.84,4,3
MOL01329,Immunology,350.1,1.28,0,2
MOL01330,Immunology,539.86,4.75,0,3
MOL01331,Immunology,441.75,2.84,3,1
MOL01332,Neurology,415.56,1.73,1,4
MOL01333,Immunology,363.14,1.82,3,7
MOL01334,Cardiology,311.45,1.32,0,5
MOL01335,Oncology,383.78,2.6,1,3
MOL01336,Neurology,299.89,4.16,4,5
MOL01337,Cardiology,408.47,2.85,0,8
MOL01338,Cardiology,350.97,1.41,0,6
MOL01339,Immunology,403.58,2.19,4,8
MOL01340,Neurology,265.12,1.02,2,2
MOL01341,Neurology,478.65,1.89,1,9
MOL01342,Immunology,346.53,3.81,4,8
MOL01343,Cardiology,373.29,4.34,2,10
MOL01344,Neurology,294.56,3.35,1,5
MOL01345,Oncology,452.5,3.41,0,10
MOL01346,Neurology,254.56,3.76,4,9
MOL01347,Cardiology,292.79,2.27,0,3
MOL01348,Immunology,493.62,4.42,0,4
MOL01349,Immunology,430.38,2.69,5,2
MOL01350,Neurology,521.5,2.47,5,10
MOL01351,Immunology,326.3,1.34,1,3
MOL01352,Neurology,507.04,4.57,2,6
MOL01353,Immunology,361.34,3.56,3,1
MOL01354,Cardiology,506.99,1.24,4,4
MOL01355,Oncology,443.1,4.3,4,7
MOL01356,Neurology,421.85,4.63,4,5
MOL01357,Oncology,337.04,2.14,4,7
MOL01358,Immunology,326.25,4.93,4,8
MOL01359,Immunology,323.84,4.11,4,9
MOL01360,Immunology,481.21,4.09,4,6
MOL01361,Cardiology,468.15,3.34,2,3
MOL01362,Cardiology,472.03,2.53,0,8
MOL01363,Immunology,384.61,4.87,1,2
MOL01364,Cardiology,355.63,3.49,1,4
MOL01365,Cardiology,440.41,2.78,4,5
MOL01366,Neurology,451.64,1.64,4,8
MOL01367,Immunology,502.49,1.41,3,6
MOL01368,Immunology,288.24,4.37,5,5
MOL01369,Cardiology,285.59,3.53,4,2
MOL01370,Oncology,268.5,4.59,4,6
MOL01371,Oncology,346.95,2.63,1,10
MOL01372,Oncology,424.04,3.46,4,10
MOL01373,Cardiology,349.48,3.38,0,7
MOL01374,Neurology,313.06,1.1,0,9
MOL01375,Oncology,502.03,1.33,5,8
MOL01376,Neurology,489.79,3.35,0,7
MOL01377,Oncology,380.16,1.23,4,10
MOL01378,Neurology,475.19,1.68,3,1
MOL01379,Oncology,544.36,2.31,1,7
MOL01380,Oncology,382.06,4.95,1,2
MOL01381,Oncology,504.19,2.31,1,7
MOL01382,Cardiology,460.64,2.56,5,5
MOL01383,Cardiology,351.46,4.17,2,3
MOL01384,Immunology,370.23,3.09,0,9
MOL01385,Oncology,424.17,4.95,1,1
MOL01386,Cardiology,483.5,2.55,2,4
MOL01387,Neurology,322.4,4.9,2,1
MOL01388,Immunology,355.76,1.11,5,5
MOL01389,Oncology,458.31,4.2,0,5
MOL01390,Cardiology,331.23,3.76,4,3
MOL01391,Oncology,252.32,2.82,0,10
MOL01392,Cardiology,408.16,2.22,1,1
MOL01393,Immunology,324.27,2.52,3,5
MOL01394,Neurology,505.6,4.86,1,9
MOL01395,Cardiology,333.58,3.41,0,5
MOL01396,Neurology,318.17,4.91,3,8
MOL01397,Oncology,498.55,4.23,2,9
MOL01398,Immunology,449.94,2.38,5,3
MOL01399,Neurology,405.51,2.88,3,9
MOL01400,Immunology,412.35,4.48,3,10
MOL01401,Immunology,392.39,3.33,4,9
MOL01402,Cardiology,265.43,3.89,5,4
MOL01403,Immunology,345.89,4.21,5,6
MOL01404,Neurology,388.59,4.15,2,10
MOL01405,Cardiology,297.14,1.1,2,1
MOL01406,Cardiology,482.66,4.06,2,10
MOL01407,Oncology,509.51,1.9,4,3
MOL01408,Cardiology,519.24,3.79,5,8
MOL01409,Immunology,451.37,3.94,1,6
MOL01410,Oncology,331.71,1.47,0,6
MOL01411,Oncology,331.15,3.31,4,5
MOL01412,Oncology,496.2,2.49,0,7
MOL01413,Oncology,465.96,3.91,0,4
MOL01414,Immunology,265.5,3.95,3,3
MOL01415,Oncology,542.89,3.04,1,8
MOL01416,Neurology,285.39,1.43,4,8
MOL01417,Immunology,513.11,2.58,2,6
MOL01418,Neurology,433.0,1.25,1,10
MOL01419,Neurology,540.25,2.04,5,10
MOL01420,Cardiology,351.82,2.17,3,10
MOL01421,Immunology,422.59,3.93,1,4
MOL01422,Immunology,445.11,2.06,4,8
MOL01423,Oncology,317.2,1.94,5,5
MOL01424,Immunology,292.88,4.6,5,3
MOL01425,Immunology,350.8,2.78,3,6
MOL01426,Cardiology,250.71,1.57,2,6
MOL01427,Neurology,314.36,2.37,1,7
MOL01428,Oncology,456.75,1.54,2,5
MOL01429,Immunology,383.99,3.83,4,4
MOL01430,Immunology,480.76,1.12,4,7
MOL01431,Oncology,273.02,1.97,5,7
MOL01432,Immunology,395.53,3.53,0,4
MOL01433,Neurology,496.05,3.28,5,8
MOL01434,Neurology,268.36,1.28,0,2
MOL01435,Oncology,384.77,2.32,0,8
MOL01436,Oncology,341.62,2.96,4,9
MOL01437,Oncology,480.9,2.95,5,6
MOL01438,Immunology,403.87,2.14,0,5
MOL01439,Cardiology,428.38,4.73,2,2
MOL01440,Neurology,530.14,3.81,5,8
MOL01441,Cardiology,428.35,1.59,3,9
MOL01442,Immunology,533.47,1.53,4,9
MOL01443,Oncology,337.96,1.84,0,9
MOL01444,Oncology,306.41,1.56,5,10
MOL01445,Immunology,524.25,2.7,3,4
MOL01446,Immunology,310.91,2.05,4,3
MOL01447,Oncology,273.54,3.82,0,4
MOL01448,Immunology,406.7,2.49,5,9
MOL01449,Cardiology,304.04,4.85,0,3
MOL01450,Oncology,373.88,2.06,5,6
MOL01451,Immunology,288.49,2.83,4,9
MOL01452,Immunology,414.17,1.49,0,7
MOL01453,Immunology,521.15,1.91,0,10
MOL01454,Oncology,280.02,2.75,5,7
MOL01455,Neurology,534.15,4.53,4,5
MOL01456,Neurology,262.37,3.98,3,1
MOL01457,Neurology,283.72,4.93,3,4
MOL01458,Neurology,349.79,1.43,4,5
MOL01459,Neurology,348.03,3.55,3,5
MOL01460,Cardiology,394.34,4.88,1,8
MOL01461,Neurology,522.4,4.28,0,6
MOL01462,Neurology,519.31,4.81,2,8
MOL01463,Neurology,318.91,2.9,0,2
MOL01464,Neurology,340.1,2.59,1,6
MOL01465,Oncology,324.43,1.41,1,6
MOL01466,Cardiology,486.44,1.57,3,7
MOL01467,Cardiology,476.53,3.57,5,10
MOL01468,Cardiology,459.31,4.68,2,9
MOL01469,Oncology,360.6,3.74,1,2
MOL01470,Neurology,369.63,2.09,0,3
MOL01471,Oncology,257.39,3.29,4,3
MOL01472,Oncology,416.9,2.79,4,6
MOL01473,Immunology,330.34,1.55,3,1
MOL01474,Immunology,379.86,1.48,5,8
MOL01475,Cardiology,447.68,3.99,5,10
MOL01476,Oncology,345.35,3.72,0,2
MOL01477,Cardiology,408.21,1.4,4,10
MOL01478,Neurology,420.0,3.5,4,1
MOL01479,Oncology,386.28,3.28,4,8
MOL01480,Neurology,387.58,3.45,5,4
MOL01481,Neurology,320.13,4.15,5,8
MOL01482,Oncology,501.93,2.7,0,9
MOL01483,Oncology,511.27,4.24,5,1
MOL01484,Cardiology,381.33,1.8,2,7
MOL01485,Neurology,429.88,3.68,4,4
MOL01486,Immunology,524.47,3.86,2,7
MOL01487,Cardiology,457.74,4.08,4,1
MOL01488,Cardiology,308.64,4.72,1,1
MOL01489,Cardiology,475.7,3.95,0,7
MOL01490,Oncology,286.66,3.15,0,4
MOL01491,Neurology,530.78,4.17,4,3
MOL01492,Oncology,331.63,2.4,2,1
MOL01493,Oncology,252.94,4.02,0,4
MOL01494,Cardiology,328.84,1.75,5,1
MOL01495,Oncology,479.79,3.74,3,8
MOL01496,Oncology,348.61,1.19,1,3
MOL01497,Oncology,403.46,4.8,1,8
MOL01498,Cardiology,498.72,4.0,0,3
MOL01499,Oncology,371.58,3.48,2,5
MOL01500,Cardiology,489.11,1.38,4,10
MOL01501,Neurology,384.29,3.34,0,3
MOL01502,Oncology,438.38,2.29,5,5
MOL01503,Immunology,471.82,3.17,5,2
MOL01504,Neurology,284.43,3.51,2,1
MOL01505,Immunology,294.56,2.41,1,2
MOL01506,Neurology,277.74,4.91,3,3
MOL01507,Neurology,456.24,4.7,5,10
MOL01508,Immunology,433.47,1.73,3,4
MOL01509,Cardiology,414.6,3.06,4,6
MOL01510,Immunology,372.41,4.01,4,4
MOL01511,Immunology,302.47,3.58,1,8
MOL01512,Neurology,251.32,4.25,0,1
MOL01513,Immunology,354.89,3.88,0,2
MOL01514,Neurology,306.49,4.95,3,8
MOL01515,Cardiology,417.99,1.92,3,8
MOL01516,Neurology,325.22,4.75,5,6
MOL01517,Neurology,257.4,2.95,4,8
MOL01518,Immunology,416.44,1.22,5,8
MOL01519,Oncology,360.45,2.41,4,9
MOL01520,Neurology,470.08,2.15,3,2
MOL01521,Neurology,414.63,3.44,0,5
MOL01522,Immunology,297.31,4.86,0,5
MOL01523,Oncology,460.4,1.78,3,2
MOL01524,Neurology,544.43,2.04,1,1
MOL01525,Immunology,434.11,4.65,0,10
MOL01526,Oncology,332.05,4.33,2,8
MOL01527,Oncology,369.75,4.13,4,2
MOL01528,Immunology,547.9,1.55,5,3
MOL01529,Neurology,336.11,3.47,5,2
MOL01530,Oncology,498.25,1.42,3,10
MOL01531,Cardiology,293.88,3.88,5,6
MOL01532,Oncology,469.85,3.06,0,7
MOL01533,Oncology,421.49,1.79,2,2
MOL01534,Immunology,501.98,2.19,3,5
MOL01535,Immunology,254.59,4.94,5,2
MOL01536,Neurology,333.8,3.22,5,3
MOL01537,Immunology,479.82,2.2,3,7
MOL01538,Cardiology,501.87,2.15,3,1
MOL01539,Immunology,427.99,3.18,4,6
MOL01540,Cardiology,408.07,4.93,0,4
MOL01541,Immunology,411.18,2.47,4,9
MOL01542,Immunology,291.85,3.23,5,5
MOL01543,Immunology,420.0,4.47,5,8
MOL01544,Cardiology,330.61,4.5,0,9
MOL01545,Neurology,337.29,1.09,2,9
MOL01546,Cardiology,548.38,4.77,2,5
MOL01547,Neurology,373.93,3.58,3,10
MOL01548,Immunology,471.02,4.8,5,1
MOL01549,Neurology,489.18,4.92,4,9
MOL01550,Cardiology,542.92,1.16,5,8
MOL01551,Neurology,411.0,3.73,2,1
MOL01552,Immunology,391.77,2.4,4,6
MOL01553,Neurology,528.19,3.0,2,1
MOL01554,Neurology,318.67,4.52,5,2
MOL01555,Cardiology,354.97,3.92,0,4
MOL01556,Oncology,513.14,4.84,2,4
MOL01557,Immunology,289.65,3.45,2,5
MOL01558,Neurology,520.32,2.72,2,7
MOL01559,Cardiology,320.11,4.69,1,6
MOL01560,Oncology,299.21,2.4,3,10
MOL01561,Immunology,448.07,3.97,1,2
MOL01562,Immunology,516.32,4.12,0,2
MOL01563,Neurology,372.8,2.12,4,9
MOL01564,Cardiology,387.06,1.05,1,7
MOL01565,Cardiology,414.18,3.53,5,2
MOL01566,Immunology,508.51,1.12,0,7
MOL01567,Neurology,400.12,4.7,2,1
MOL01568,Immunology,291.67,2.55,2,3
MOL01569,Oncology,280.78,2.12,3,8
MOL01570,Neurology,485.77,2.78,4,5
MOL01571,Neurology,514.9,3.85,4,2
MOL01572,Immunology,364.84,4.76,3,6
MOL01573,Neurology,277.15,1.02,1,3
MOL01574,Neurology,480.43,4.07,0,1
MOL01575,Oncology,420.07,1.61,4,2
MOL01576,Neurology,360.05,4.66,4,2
MOL01577,Cardiology,461.14,3.92,3,6
MOL01578,Neurology,439.91,1.6,1,2
MOL01579,Neurology,502.0,2.85,0,10
MOL01580,Immunology,256.49,1.37,1,7
MOL01581,Oncology,374.96,2.78,2,5
MOL01582,Immunology,326.73,1.49,0,4
MOL01583,Cardiology,284.35,1.54,2,5
MOL01584,Oncology,432.55,4.82,3,4
MOL01585,Oncology,311.43,2.58,3,1
MOL01586,Immunology,477.22,4.89,1,3
MOL01587,Neurology,355.11,4.32,3,6
MOL01588,Neurology,288.28,4.5,3,8
MOL01589,Oncology,470.31,3.87,5,10
MOL01590,Neurology,412.52,3.05,3,9
MOL01591,Cardiology,480.35,1.27,2,8
MOL01592,Neurology,404.39,2.52,4,4
MOL01593,Neurology,480.76,1.8,4,2
MOL01594,Oncology,357.65,2.27,2,8
MOL01595,Oncology,320.0,3.14,4,5
MOL01596,Cardiology,485.19,4.71,3,10
MOL01597,Neurology,438.95,1.12,2,7
MOL01598,Oncology,486.35,1.46,3,9
MOL01599,Immunology,317.91,1.61,0,9
MOL01600,Oncology,317.54,2.58,0,5
MOL01601,Immunology,284.96,3.84,0,7
MOL01602,Neurology,457.91,4.83,3,3
MOL01603,Immunology,353.36,3.33,0,10
MOL01604,Oncology,409.89,2.58,5,5
MOL01605,Neurology,438.71,1.22,1,5
MOL01606,Immunology,279.08,2.53,5,5
MOL01607,Immunology,487.55,2.92,1,9
MOL01608,Oncology,485.59,2.23,5,9
MOL01609,Oncology,437.56,4.26,0,2
MOL01610,Cardiology,324.57,2.34,0,9
MOL01611,Cardiology,373.75,3.81,4,5
MOL01612,Cardiology,523.6,4.92,4,4
MOL01613,Oncology,442.29,1.97,1,10
MOL01614,Immunology,290.61,3.81,5,8
MOL01615,Neurology,360.44,3.07,1,3
MOL01616,Oncology,309.42,2.77,3,3
MOL01617,Cardiology,521.59,1.84,4,9
MOL01618,Oncology,422.57,1.76,0,10
MOL01619,Oncology,303.92,1.43,0,3
MOL01620,Oncology,330.69,4.28,2,9
MOL01621,Cardiology,314.89,3.37,4,2
MOL01622,Oncology,351.52,2.46,5,1
MOL01623,Immunology,471.13,2.64,4,8
MOL01624,Oncology,320.83,2.93,3,4
MOL01625,Neurology,460.81,4.29,5,8
MOL01626,Cardiology,448.99,3.87,5,2
MOL01627,Neurology,303.85,1.81,5,9
MOL01628,Immunology,505.64,1.88,5,1
MOL01629,Neurology,416.36,4.13,5,5
MOL01630,Oncology,305.83,1.19,5,2
MOL01631,Neurology,536.3,2.59,0,2
MOL01632,Immunology,455.04,2.81,0,8
MOL01633,Neurology,512.08,2.12,4,2
MOL01634,Oncology,345.3,1.89,3,8
MOL01635,Immunology,319.06,2.36,3,5
MOL01636,Cardiology,522.81,4.68,2,3
MOL01637,Oncology,346.1,1.61,5,9
MOL01638,Oncology,327.73,2.09,5,4
MOL01639,Immunology,304.89,1.08,0,6
MOL01640,Neurology,502.76,3.68,5,4
MOL01641,Oncology,481.21,1.74,0,8
MOL01642,Neurology,335.22,2.75,4,6
MOL01643,Immunology,374.18,2.65,1,6
MOL01644,Immunology,429.99,4.23,5,3
MOL01645,Cardiology,292.11,4.94,1,8
MOL01646,Cardiology,320.74,4.0,5,2
MOL01647,Neurology,511.69,1.95,3,6
MOL01648,Oncology,322.58,3.05,0,9
MOL01649,Neurology,416.37,1.1,1,4
MOL01650,Cardiology,532.21,3.4,4,1
MOL01651,Oncology,316.6,3.05,5,9
MOL01652,Immunology,363.12,2.49,1,10
MOL01653,Immunology,520.06,1.93,1,9
MOL01654,Cardiology,448.28,4.5,3,3
MOL01655,Neurology,507.83,2.36,0,7
MOL01656,Cardiology,499.67,4.8,1,3
MOL01657,Cardiology,369.73,1.92,1,4
MOL01658,Oncology,534.19,3.7,1,10
MOL01659,Immunology,435.21,4.03,4,4
MOL01660,Cardiology,524.03,3.57,1,4
MOL01661,Cardiology,256.93,2.24,1,10
MOL01662,Cardiology,480.56,1.71,2,2
MOL01663,Immunology,280.95,2.65,5,4
MOL01664,Neurology,527.94,1.66,3,1
MOL01665,Cardiology,513.14,2.38,0,4
MOL01666,Immunology,282.94,3.48,3,2
MOL01667,Neurology,512.25,1.17,3,1
MOL01668,Oncology,393.56,2.6,1,9
MOL01669,Cardiology,250.54,2.07,0,1
MOL01670,Cardiology,276.95,2.08,4,2
MOL01671,Immunology,534.81,3.78,1,9
MOL01672,Oncology,526.27,2.5,5,6
MOL01673,Oncology,363.87,1.3,5,1
MOL01674,Immunology,382.63,3.78,2,10
MOL01675,Neurology,385.1,2.14,4,10
MOL01676,Neurology,254.15,1.34,2,1
MOL01677,Immunology,406.23,1.11,0,3
MOL01678,Immunology,305.52,1.72,3,7
MOL01679,Cardiology,341.86,3.05,0,1
MOL01680,Cardiology,444.47,1.01,3,1
MOL01681,Neurology,303.17,2.08,4,8
MOL01682,Immunology,370.18,2.13,1,8
MOL01683,Oncology,294.44,1.59,3,1
MOL01684,Immunology,276.91,3.24,3,9
MOL01685,Cardiology,474.67,3.39,0,3
MOL01686,Oncology,250.1,4.13,0,3
MOL01687,Neurology,269.96,2.71,1,7
MOL01688,Cardiology,512.24,3.59,1,1
MOL01689,Neurology,466.34,2.38,3,10
MOL01690,Oncology,506.19,1.73,0,9
MOL01691,Cardiology,335.68,3.63,4,5
MOL01692,Cardiology,522.0,3.37,0,9
MOL01693,Cardiology,276.54,4.53,4,7
MOL01694,Cardiology,546.44,4.85,0,6
MOL01695,Immunology,323.87,1.35,5,1
MOL01696,Oncology,299.28,3.49,3,7
MOL01697,Cardiology,378.92,1.84,1,8
MOL01698,Neurology,362.05,1.75,0,6
MOL01699,Cardiology,499.69,2.71,0,2
MOL01700,Neurology,348.66,1.28,5,2
MOL01701,Cardiology,298.74,1.93,5,8
MOL01702,Neurology,253.89,2.71,5,6
MOL01703,Neurology,327.82,1.57,0,1
MOL01704,Oncology,431.17,3.77,1,6
MOL01705,Oncology,405.18,3.91,0,4
MOL01706,Cardiology,377.06,1.91,2,9
MOL01707,Neurology,296.36,1.48,4,7
MOL01708,Neurology,495.29,3.27,2,9
MOL01709,Cardiology,409.48,2.67,0,3
MOL01710,Immunology,547.43,1.6,0,1
MOL01711,Neurology,396.36,2.97,3,6
MOL01712,Cardiology,417.45,2.3,2,2
MOL01713,Cardiology,530.8,3.21,2,9
MOL01714,Neurology,391.62,1.28,5,8
MOL01715,Immunology,304.38,4.33,5,1
MOL01716,Oncology,281.67,2.08,3,3
MOL01717,Immunology,257.03,2.58,4,4
MOL01718,Oncology,396.26,1.97,2,10
MOL01719,Neurology,483.05,1.19,1,10
MOL01720,Cardiology,304.33,4.15,0,4
MOL01721,Cardiology,412.47,2.0,1,5
MOL01722,Oncology,252.78,1.75,2,8
MOL01723,Oncology,252.71,2.65,2,1
MOL01724,Oncology,499.93,3.97,3,7
MOL01725,Neurology,491.84,1.23,3,4
MOL01726,Neurology,467.51,4.85,4,5
MOL01727,Immunology,418.55,3.19,1,2
MOL01728,Oncology,256.08,3.49,0,5
MOL01729,Neurology,425.18,2.68,4,9
MOL01730,Neurology,340.91,1.08,2,8
MOL01731,Cardiology,259.45,2.14,2,3
MOL01732,Neurology,414.06,3.71,3,8
MOL01733,Cardiology,523.01,2.17,2,4
MOL01734,Oncology,328.95,3.03,5,6
MOL01735,Oncology,539.4,4.38,2,4
MOL01736,Immunology,426.1,2.66,3,6
MOL01737,Immunology,433.87,1.8,0,7
MOL01738,Immunology,437.65,1.69,0,1
MOL01739,Neurology,401.24,3.82,5,4
MOL01740,Oncology,338.27,2.32,3,7
MOL01741,Oncology,314.88,3.46,5,8
MOL01742,Oncology,402.32,1.13,3,8
MOL01743,Neurology,394.37,3.89,3,8
MOL01744,Immunology,279.18,2.05,1,1
MOL01745,Neurology,293.15,3.85,4,8
MOL01746,Oncology,378.2,4.87,0,3
MOL01747,Oncology,277.0,1.89,5,9
MOL01748,Neurology,480.15,1.95,2,2
MOL01749,Cardiology,325.85,4.79,5,8
MOL01750,Cardiology,497.94,1.85,0,1
MOL01751,Immunology,336.34,3.41,2,7
MOL01752,Oncology,377.92,3.96,2,7
MOL01753,Neurology,311.67,1.92,2,8
MOL01754,Cardiology,403.26,2.11,2,10
MOL01755,Oncology,542.47,3.29,2,7
MOL01756,Oncology,482.26,3.62,1,1
MOL01757,Oncology,456.13,2.64,4,2
MOL01758,Immunology,287.51,1.29,5,5
MOL01759,Immunology,345.19,2.19,3,8
MOL01760,Cardiology,522.3,2.97,3,10
MOL01761,Neurology,505.03,2.14,1,1
MOL01762,Neurology,372.48,3.82,3,3
MOL01763,Neurology,541.86,4.85,5,2
MOL01764,Neurology,382.18,1.29,3,5
MOL01765,Immunology,432.47,1.09,0,10
MOL01766,Cardiology,402.17,2.97,2,3
MOL01767,Cardiology,393.08,1.37,1,2
MOL01768,Cardiology,536.74,3.98,5,6
MOL01769,Oncology,484.44,4.36,4,3
MOL01770,Oncology,283.78,2.41,5,9
MOL01771,Oncology,467.53,3.63,4,6
MOL01772,Neurology,529.18,1.67,1,2
MOL01773,Cardiology,509.47,2.92,1,6
MOL01774,Neurology,407.55,2.82,2,8
MOL01775,Neurology,383.25,3.73,5,4
MOL01776,Oncology,481.97,1.87,1,10
MOL01777,Neurology,447.84,1.71,2,1
MOL01778,Neurology,466.45,3.35,2,5
MOL01779,Oncology,438.01,2.28,4,3
MOL01780,Cardiology,301.98,3.41,1,5
MOL01781,Neurology,285.56,1.13,2,7
MOL01782,Oncology,532.67,4.29,0,2
MOL01783,Oncology,415.87,1.8,1,1
MOL01784,Cardiology,515.12,4.4,5,10
MOL01785,Neurology,530.62,1.23,4,2
MOL01786,Oncology,384.63,4.75,1,9
MOL01787,Oncology,341.28,4.87,0,3
MOL01788,Immunology,531.48,4.64,3,9
MOL01789,Oncology,351.64,3.0,5,7
MOL01790,Neurology,371.38,1.33,4,2
MOL01791,Neurology,510.46,2.19,0,4
MOL01792,Cardiology,403.14,3.33,2,8
MOL01793,Immunology,458.72,3.12,4,2
MOL01794,Oncology,288.7,1.69,5,9
MOL01795,Immunology,284.47,1.68,4,9
MOL01796,Neurology,433.97,1.44,1,3
MOL01797,Immunology,360.5,2.25,0,5
MOL01798,Neurology,518.16,2.18,3,3
MOL01799,Cardiology,431.01,3.12,5,7
MOL01800,Immunology,357.52,2.8,3,9
MOL01801,Neurology,462.97,1.54,5,7
MOL01802,Immunology,276.86,3.72,2,8
MOL01803,Cardiology,322.63,1.71,2,5
MOL01804,Cardiology,345.12,1.23,1,5
MOL01805,Immunology,295.95,2.35,0,5
MOL01806,Immunology,379.03,4.27,5,5
MOL01807,Immunology,482.73,3.59,1,5
MOL01808,Cardiology,479.09,3.26,3,9
MOL01809,Neurology,255.93,2.68,3,5
MOL01810,Cardiology,404.49,2.64,1,10
MOL01811,Cardiology,396.39,4.43,4,1
MOL01812,Cardiology,343.18,2.58,0,1
MOL01813,Immunology,471.13,4.61,3,8
MOL01814,Immunology,531.98,2.56,3,5
MOL01815,Oncology,515.46,2.65,2,7
MOL01816,Oncology,343.41,2.75,5,4
MOL01817,Immunology,447.96,1.64,5,8
MOL01818,Immunology,359.24,4.06,0,3
MOL01819,Cardiology,315.27,2.7,1,10
MOL01820,Neurology,498.43,4.7,1,5
MOL01821,Immunology,274.81,2.89,3,4
MOL01822,Immunology,444.49,3.32,4,8
MOL01823,Oncology,251.74,1.62,0,4
MOL01824,Cardiology,502.04,1.61,5,4
MOL01825,Cardiology,301.06,3.21,4,9
MOL01826,Cardiology,259.28,3.04,1,8
MOL01827,Neurology,354.44,4.83,1,8
MOL01828,Cardiology,397.72,1.72,3,6
MOL01829,Cardiology,339.67,4.82,0,2
MOL01830,Neurology,456.08,4.49,1,5
MOL01831,Immunology,271.86,1.44,5,9
MOL01832,Cardiology,400.69,2.79,1,10
MOL01833,Neurology,418.72,2.26,1,7
MOL01834,Cardiology,281.73,1.02,2,5
MOL01835,Oncology,357.01,1.75,4,2
MOL01836,Immunology,533.33,3.82,0,2
MOL01837,Immunology,321.02,4.05,5,8
MOL01838,Neurology,486.35,2.5,3,7
MOL01839,Oncology,269.52,1.1,0,10
MOL01840,Neurology,262.03,1.63,5,2
MOL01841,Cardiology,406.38,4.99,0,10
MOL01842,Cardiology,288.93,1.21,3,2
MOL01843,Neurology,440.21,1.09,0,2
MOL01844,Oncology,455.59,2.45,5,5
MOL01845,Cardiology,259.71,3.87,2,1
MOL01846,Neurology,485.5,4.42,3,6
